GroupNumber    M200[Msol]    fdisk    fbulge    fihl    DtoT_30kpc    kappa_co_30kpc    f_gt_100kpc    f_gt_30kpc    f_gt_2r50    disk_t50    disk_r50    disk_sfr    bulge_t50    bulge_r50    bulge_sfr    ihl_t50    ihl_r50    ihl_sfr
24 4.814138e+13 0.000000e+00 6.953729e-01 3.046271e-01 5.247926e-02 1.618967e-01 2.361236e-01 5.019789e-01 3.436557e-01 nan nan nan 1.024391e+01 1.461395e+01 9.871355e-01 1.028069e+01 1.466415e+02 2.390214e+00
25 4.747082e+13 0.000000e+00 7.321907e-01 2.678093e-01 3.511549e-01 3.023793e-01 3.657207e-01 5.107057e-01 4.186442e-01 nan nan nan 1.083253e+01 1.295959e+01 7.385309e-01 1.025233e+01 3.307216e+02 8.922248e-01
26 4.242176e+13 0.000000e+00 6.998606e-01 3.001394e-01 4.389968e-01 2.642852e-01 2.451969e-01 5.674126e-01 3.014608e-01 nan nan nan 1.037061e+01 2.192384e+01 3.774591e+00 9.837437e+00 1.461039e+02 1.274690e+00
27 3.975410e+13 0.000000e+00 6.217361e-01 3.782639e-01 2.143037e-01 2.220958e-01 2.263044e-01 4.010564e-01 3.619138e-01 nan nan nan 9.982765e+00 7.261455e+00 1.217349e-01 9.708217e+00 1.231222e+02 1.246425e+00
28 4.285516e+13 0.000000e+00 6.928130e-01 3.071870e-01 -7.501348e-03 2.435077e-01 1.750750e-01 3.585142e-01 3.879848e-01 nan nan nan 1.041776e+01 6.414631e+00 5.515193e+00 1.102975e+01 1.174566e+02 3.287313e-01
29 3.924880e+13 0.000000e+00 3.341904e-01 6.658096e-01 2.140694e-01 2.111210e-01 2.189619e-01 4.770907e-01 3.508878e-01 nan nan nan 1.055140e+01 2.059287e+00 0.000000e+00 1.062698e+01 5.875685e+01 1.750651e+00
30 3.244254e+13 0.000000e+00 8.289618e-01 1.710382e-01 -9.034348e-02 1.562605e-01 1.769400e-01 3.964212e-01 3.564830e-01 nan nan nan 1.112956e+01 1.101844e+01 9.484594e-01 1.014931e+01 2.492276e+02 8.864920e-01
31 2.564324e+13 0.000000e+00 7.106021e-01 2.893979e-01 1.799091e-01 1.626266e-01 2.452395e-01 4.531963e-01 3.714416e-01 nan nan nan 9.683052e+00 1.172296e+01 6.209433e-01 9.346511e+00 2.013225e+02 3.809249e-01
32 3.756640e+13 0.000000e+00 4.626760e-01 5.373240e-01 2.043435e-01 2.023629e-01 2.126958e-01 4.591804e-01 3.646550e-01 nan nan nan 1.003385e+01 2.956047e+00 2.200694e-01 1.083055e+01 7.208909e+01 6.409568e-01
33 4.018482e+13 0.000000e+00 6.226456e-01 3.773544e-01 -4.599577e-02 1.986962e-01 1.806520e-01 3.693837e-01 3.853315e-01 nan nan nan 9.076848e+00 6.115863e+00 5.497012e+00 1.073221e+01 9.383080e+01 4.646223e-01
34 3.993001e+13 0.000000e+00 6.648221e-01 3.351779e-01 4.228704e-02 1.480674e-01 2.281176e-01 4.541782e-01 3.599007e-01 nan nan nan 1.066017e+01 1.102302e+01 4.487248e-01 1.025338e+01 1.362824e+02 5.793110e-01
35 3.905658e+13 0.000000e+00 7.285035e-01 2.714965e-01 2.340711e-01 2.174131e-01 2.119865e-01 4.549418e-01 3.672895e-01 nan nan nan 1.014491e+01 1.086144e+01 7.306080e+00 9.557223e+00 1.429561e+02 1.356604e+00
36 3.514751e+13 0.000000e+00 5.886143e-01 4.113857e-01 2.657600e-01 1.768928e-01 2.209750e-01 4.802333e-01 3.484574e-01 nan nan nan 1.015989e+01 9.351306e+00 7.550259e-01 1.018690e+01 1.083847e+02 9.465562e-01
37 2.238135e+13 0.000000e+00 6.864098e-01 3.135902e-01 1.288882e-01 1.340341e-01 1.784990e-01 4.568155e-01 3.185746e-01 nan nan nan 1.012568e+01 1.449885e+01 5.569716e-01 9.759308e+00 1.116240e+02 2.676544e-01
38 3.648779e+13 0.000000e+00 6.782850e-01 3.217150e-01 5.547598e-02 1.553291e-01 2.626426e-01 5.662536e-01 3.180511e-01 nan nan nan 9.836802e+00 1.997857e+01 4.246420e-01 9.479999e+00 1.661397e+02 3.111808e-01
39 3.640353e+13 0.000000e+00 7.139265e-01 2.860735e-01 3.951634e-01 3.411909e-01 2.059774e-01 3.991093e-01 3.659177e-01 nan nan nan 1.134539e+01 9.015865e+00 1.635782e-01 1.058704e+01 1.420968e+02 6.634739e-01
40 2.981011e+13 0.000000e+00 7.436977e-01 2.563023e-01 1.922715e-01 2.457582e-01 1.805784e-01 4.038149e-01 3.777162e-01 nan nan nan 9.763728e+00 9.135620e+00 6.939472e+00 1.025003e+01 1.408012e+02 1.682043e+00
41 3.279474e+13 2.859201e-01 3.086920e-01 4.053879e-01 5.158653e-01 4.408321e-01 1.858409e-01 4.190394e-01 3.616896e-01 5.478703e+00 1.071112e+01 1.110211e+01 1.092837e+01 7.593165e+00 4.036015e-01 1.070999e+01 7.828797e+01 1.415886e-01
42 3.524204e+13 1.635116e-01 6.450398e-01 1.914486e-01 8.730902e-02 2.149678e-01 1.822052e-01 3.914034e-01 3.445922e-01 1.005717e+01 3.252686e+01 2.802052e-01 1.061958e+01 1.027778e+01 2.275812e-01 1.055399e+01 1.427391e+02 1.588003e-01
43 3.826181e+13 0.000000e+00 6.193823e-01 3.806177e-01 2.917320e-01 2.867388e-01 2.889820e-01 4.642760e-01 3.834405e-01 nan nan nan 9.959167e+00 1.077255e+01 1.813949e+00 9.854561e+00 1.274624e+02 1.906887e+00
44 3.236899e+13 0.000000e+00 5.821894e-01 4.178106e-01 1.767231e-01 2.020136e-01 2.567848e-01 4.869215e-01 3.715775e-01 nan nan nan 1.052737e+01 1.431081e+01 7.411084e-01 1.048444e+01 1.227511e+02 4.206820e-01
45 2.964568e+13 0.000000e+00 6.666049e-01 3.333951e-01 1.909388e-02 1.614120e-01 2.959614e-01 4.009501e-01 3.908117e-01 nan nan nan 1.064789e+01 7.082571e+00 3.885644e-01 9.184022e+00 2.821535e+02 4.667802e-01
46 3.469776e+13 0.000000e+00 6.795076e-01 3.204924e-01 4.246667e-01 4.389717e-01 2.227511e-01 3.953732e-01 4.016609e-01 nan nan nan 1.003794e+01 7.139776e+00 9.303414e+00 9.673606e+00 1.384264e+02 3.604076e+00
47 2.881878e+13 0.000000e+00 6.096213e-01 3.903787e-01 2.407022e-02 1.356994e-01 2.752781e-01 4.615821e-01 3.870690e-01 nan nan nan 1.104718e+01 8.484273e+00 3.690627e+00 9.416739e+00 1.595462e+02 1.011757e+00
48 3.101599e+13 2.824636e-01 4.736569e-01 2.438795e-01 4.486671e-01 3.621384e-01 1.712168e-01 3.529197e-01 3.512344e-01 8.176666e+00 5.314264e+00 4.270555e+00 1.042697e+01 1.246027e+01 1.164590e-01 9.538348e+00 1.498010e+02 1.869969e-01
49 2.743451e+13 0.000000e+00 7.966100e-01 2.033900e-01 2.111728e-02 1.724540e-01 1.837848e-01 4.019735e-01 3.549844e-01 nan nan nan 1.011065e+01 1.210928e+01 5.804588e-01 1.019496e+01 1.944518e+02 3.795837e-01
50 1.939792e+13 3.059291e-01 3.336614e-01 3.604095e-01 3.583796e-01 4.504207e-01 1.515890e-01 2.864947e-01 3.314251e-01 6.626638e+00 9.850735e+00 1.546910e-02 1.192665e+01 2.848079e+00 2.183578e-01 1.073021e+01 7.649132e+01 4.144958e-01
51 2.715112e+13 1.303894e-01 5.400482e-01 3.295624e-01 3.387829e-01 3.147200e-01 2.312830e-01 4.349819e-01 3.698245e-01 4.702984e+00 6.779501e+00 9.986664e-01 1.059416e+01 1.204407e+01 4.639386e-01 9.857514e+00 1.329999e+02 9.759841e-01
